addr,instl_cnt,lat,lon
경기도 가평군 상면 항사리386-17,1,37.786659,127.362724
경기도 가평군 상면 항사리437,1,37.786156,127.361862
경기도 가평군 상면 항사리401-1,1,37.785076,127.360138
경기도 가평군 상면 항사리401-2,1,37.784496,127.360718
경기도 가평군 상면 항사리415-2,1,37.785717,127.360031
경기도 가평군 상면 항사리406,1,37.785084,127.359322
경기도 가평군 상면 항사리714,1,37.78447,127.357826
경기도 가평군 상면 항사리404-2,1,37.783875,127.358223
경기도 가평군 상면 항사리615-6,1,37.783463,127.357811
경기도 가평군 상면 항사리615-38,1,37.782509,127.357018
경기도 가평군 상면 항사리397,1,37.782848,127.360672
경기도 가평군 상면 항사리374-8,1,37.782188,127.361893
경기도 가평군 상면 항사리610,1,37.784936,127.357761
경기도 가평군 상면 항사리600,1,37.785183,127.356407
경기도 가평군 상면 항사리601,1,37.785484,127.35643
경기도 가평군 상면 항사리586-4,1,37.785667,127.354195
경기도 가평군 상면 항사리602-3,1,37.785835,127.356117
경기도 가평군 상면 항사리571-6,1,37.786114,127.357407
경기도 가평군 상면 항사리712,1,37.785889,127.358124
경기도 가평군 상면 항사리343-7,1,37.78756,127.364624
경기도 가평군 상면 항사리347,1,37.786961,127.365089
경기도 가평군 상면 항사리364-1,1,37.786491,127.36512
경기도 가평군 상면 항사리364-18,1,37.785706,127.365593
경기도 가평군 상면 항사리330-5,1,37.788532,127.366669
경기도 가평군 상면 항사리산109-5,1,37.788521,127.367912
경기도 가평군 상면 항사리355-1,1,37.788769,127.368774
경기도 가평군 상면 항사리303-2,1,37.792107,127.367157
경기도 가평군 상면 항사리318-1,1,37.791439,127.36853
경기도 가평군 상면 항사리674,1,37.79118,127.368752
경기도 가평군 청평면 상천리504-3,1,37.788107,127.452476
경기도 가평군 청평면 상천리506-17,1,37.788758,127.452854
경기도 가평군 청평면 상천리504-2,1,37.788536,127.451079
경기도 가평군 청평면 호명리산1-6,1,37.708153,127.471077
경기도 가평군 청평면 상천리1662,1,37.778803,127.463975
경기도 가평군 청평면 청평리659-3,1,37.729782,127.409378
경기도 가평군 청평면 청평리659-8,1,37.730361,127.410095
경기도 가평군 청평면 청평리657-3,1,37.730701,127.410797
경기도 가평군 청평면 청평리669-13,1,37.730251,127.411568
경기도 가평군 청평면 청평리669-20,1,37.730467,127.411331
경기도 가평군 청평면 청평리820,1,37.731121,127.411293
